,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
0,05/02/2022,GRU,EDI,GRU-EDI,1,0,ECONOMY,return,26/09/2022,29/11/2022,BRL,383100,CENTI,-32222,REDIRECT,Brazil,162411.1232,162411.1232,504.3823702
1,05/02/2022,LHR,EDI,LHR-EDI,1,0,ECONOMY,oneway,18/07/2022,,NZD,29900,CENTI,-32480,REDIRECT,Gibraltar,3679.949045,,25.91513412
2,05/02/2022,LHR,EDI,LHR-EDI,1,0,ECONOMY,oneway,18/07/2022,,NZD,29900,CENTI,-32480,DIRECT_BOOKING,UK,3679.949045,,25.91513412
3,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,oneway,05/06/2022,,AUD,20300,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
4,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,oneway,05/02/2022,,GBP,10100,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
5,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,oneway,05/02/2022,,GBP,10100,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
6,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,oneway,05/06/2022,,GBP,5600,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
7,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,oneway,05/06/2022,,GBP,5600,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
8,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,mutli_city,23/06/2022,29/06/2022,GBP,6900,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
9,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,13/06/2022,17/06/2022,GBP,12000,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
10,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,13/06/2022,17/06/2022,GBP,12000,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
11,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,06/03/2022,06/06/2022,GBP,5400,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
