,iso_country_origin,CO2_emissions,no_flights,CO2_per_flight
0,AU,279882.4278060363,1,279882.4278060363
1,BE,11757.813189449284,2,5878.906594724642
2,BG,17681.513784925755,1,17681.513784925755
3,BR,162411.12318991864,1,162411.12318991864
4,CH,27571.684063382356,3,9190.561354460786
5,CN,137306.4308199599,1,137306.4308199599
6,CY,53473.543763535665,2,26736.771881767832
7,DE,71759.67487935623,9,7973.297208817359
8,DK,17182.256264951422,3,5727.418754983807
9,ES,632237.2242007108,40,15805.93060501777
10,FR,52506.38916107512,5,10501.277832215024
11,GB,589072.6767782146,159,3704.8596023787086
12,GI,16179.214314980904,1,16179.214314980904
13,HK,318350.80251186667,2,159175.40125593334
14,HR,14387.264974890724,1,14387.264974890724
15,ID,209985.99954210798,1,209985.99954210798
16,IE,22350.28167808024,7,3192.897382582891
17,IT,106671.40247090277,7,15238.77178155754
18,KR,143715.5760148016,1,143715.5760148016
19,LT,13250.974856268642,1,13250.974856268642
20,MT,19132.171240433803,1,19132.171240433803
21,NL,19543.545939535266,4,4885.886484883817
22,NO,13616.65060214918,2,6808.32530107459
23,NZ,299275.95921368804,1,299275.95921368804
24,PL,32667.30787359639,3,10889.10262453213
25,PT,218607.09604552487,15,14573.80640303499
26,RO,84263.39741652092,5,16852.679483304186
27,TR,115076.69274952004,5,23015.33854990401
