,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
0,2016,2016/P01,2016/W01,East Suburban,Commuter,68625,1163739
1,2016,2016/P01,2016/W01,eXpress,Commuter,33695,953075
2,2016,2016/P01,2016/W01,Inter7City,Commuter,27651,757075
3,2016,2016/P01,2016/W01,Scenic,Commuter,9806,180878
4,2016,2016/P01,2016/W01,West Suburban,Commuter,302609,3303754
5,2016,2016/P01,2016/W01,East Suburban,Off-Peak,74740,1464582
6,2016,2016/P01,2016/W01,eXpress,Off-Peak,58339,2106817
7,2016,2016/P01,2016/W01,Inter7City,Off-Peak,89763,6131890
8,2016,2016/P01,2016/W01,Scenic,Off-Peak,31772,1233731
9,2016,2016/P01,2016/W01,West Suburban,Off-Peak,547271,5679787
10,2016,2016/P01,2016/W01,East Suburban,Peak,56955,1055312
11,2016,2016/P01,2016/W01,eXpress,Peak,26137,884161
12,2016,2016/P01,2016/W01,Inter7City,Peak,48235,2388334
13,2016,2016/P01,2016/W01,Scenic,Peak,19186,609508
14,2016,2016/P01,2016/W01,West Suburban,Peak,256059,3079538
15,2016,2016/P01,2016/W02,East Suburban,Commuter,72379,1237874
16,2016,2016/P01,2016/W02,eXpress,Commuter,35804,1024029
17,2016,2016/P01,2016/W02,Inter7City,Commuter,31897,868518
18,2016,2016/P01,2016/W02,Scenic,Commuter,10528,192043
19,2016,2016/P01,2016/W02,West Suburban,Commuter,334519,3670410
20,2016,2016/P01,2016/W02,East Suburban,Off-Peak,54532,1046590
21,2016,2016/P01,2016/W02,eXpress,Off-Peak,47149,1775868
22,2016,2016/P01,2016/W02,Inter7City,Off-Peak,82349,6103115
23,2016,2016/P01,2016/W02,Scenic,Off-Peak,25198,1088332
24,2016,2016/P01,2016/W02,West Suburban,Off-Peak,435539,4346720
25,2016,2016/P01,2016/W02,East Suburban,Peak,62457,1169148
26,2016,2016/P01,2016/W02,eXpress,Peak,33568,1204589
27,2016,2016/P01,2016/W02,Inter7City,Peak,57276,2916975
28,2016,2016/P01,2016/W02,Scenic,Peak,18903,549185
29,2016,2016/P01,2016/W02,West Suburban,Peak,278986,3305815
30,2016,2016/P01,2016/W03,East Suburban,Commuter,74469,1262312
31,2016,2016/P01,2016/W03,eXpress,Commuter,38430,1110688
32,2016,2016/P01,2016/W03,Inter7City,Commuter,32445,885450
33,2016,2016/P01,2016/W03,Scenic,Commuter,10859,204388
34,2016,2016/P01,2016/W03,West Suburban,Commuter,347892,3832872
35,2016,2016/P01,2016/W03,East Suburban,Off-Peak,59399,1141921
36,2016,2016/P01,2016/W03,eXpress,Off-Peak,52140,1978009
37,2016,2016/P01,2016/W03,Inter7City,Off-Peak,86274,6248776
38,2016,2016/P01,2016/W03,Scenic,Off-Peak,26818,1133242
39,2016,2016/P01,2016/W03,West Suburban,Off-Peak,458241,4614163
40,2016,2016/P01,2016/W03,East Suburban,Peak,65549,1218301
41,2016,2016/P01,2016/W03,eXpress,Peak,35920,1296915
42,2016,2016/P01,2016/W03,Inter7City,Peak,59328,3068442
43,2016,2016/P01,2016/W03,Scenic,Peak,19853,577642
44,2016,2016/P01,2016/W03,West Suburban,Peak,282047,3379402
45,2016,2016/P01,2016/W04,East Suburban,Commuter,74845,1272470
46,2016,2016/P01,2016/W04,eXpress,Commuter,35167,985445
47,2016,2016/P01,2016/W04,Inter7City,Commuter,32258,874274
48,2016,2016/P01,2016/W04,Scenic,Commuter,10805,202278
49,2016,2016/P01,2016/W04,West Suburban,Commuter,354811,3918631
50,2016,2016/P01,2016/W04,East Suburban,Off-Peak,58294,1121373
51,2016,2016/P01,2016/W04,eXpress,Off-Peak,53529,2042722
52,2016,2016/P01,2016/W04,Inter7City,Off-Peak,86693,6161970
53,2016,2016/P01,2016/W04,Scenic,Off-Peak,25646,1079926
54,2016,2016/P01,2016/W04,West Suburban,Off-Peak,441270,4409612
55,2016,2016/P01,2016/W04,East Suburban,Peak,66302,1219620
56,2016,2016/P01,2016/W04,eXpress,Peak,34687,1261783
57,2016,2016/P01,2016/W04,Inter7City,Peak,61109,3114318
58,2016,2016/P01,2016/W04,Scenic,Peak,18362,531725
59,2016,2016/P01,2016/W04,West Suburban,Peak,275378,3304293
60,2016,2016/P01,2016/W05,East Suburban,Commuter,76270,1302256
61,2016,2016/P01,2016/W05,eXpress,Commuter,38625,1107758
62,2016,2016/P01,2016/W05,Inter7City,Commuter,33035,896615
63,2016,2016/P01,2016/W05,Scenic,Commuter,11304,210840
64,2016,2016/P01,2016/W05,West Suburban,Commuter,366207,4041586
65,2016,2016/P01,2016/W05,East Suburban,Off-Peak,69078,1393661
66,2016,2016/P01,2016/W05,eXpress,Off-Peak,61971,2359877
67,2016,2016/P01,2016/W05,Inter7City,Off-Peak,93146,6528265
68,2016,2016/P01,2016/W05,Scenic,Off-Peak,29582,1200423
